Country,Country Age
 Afghanistan,#REF!
 Albania,#REF!
 Algeria,#REF!
 Angola,#REF!
 Anguilla,#REF!
 Antigua and Barbuda,#REF!
 Argentina,#REF!
 Armenia,#REF!
,#REF!
 Austria,#REF!
 Azerbaijan,#REF!
,#REF!
 Bahamas,#REF!
 Bahrain,#REF!
 Bangladesh,#REF!
 Barbados,#REF!
 Belarus,#REF!
 Belgium,#REF!
 Belize,#REF!
 Benin,#REF!
 Bolivia,#REF!
 Bosnia and Herzegovina,#REF!
 Botswana,#REF!
 Brazil,#REF!
 Brunei,#REF!
 Bulgaria,#REF!
 Burkina Faso,#REF!
 Myanmar,#REF!
 Burundi,#REF!
 Cambodia,#REF!
 Cameroon,#REF!
 Canada,#REF!
 Cape Verde,#REF!
 Central African Republic,#REF!
 Chad,#REF!
 Chile,#REF!
 Colombia,#REF!
 Comoros,#REF!
" Congo, Democratic Republic of the",#REF!
" Congo, Republic of the",#REF!
 Costa Rica,#REF!
 Croatia,#REF!
 Cuba,#REF!
 Cyprus,#REF!
 Czech Republic,#REF!
,#REF!
 Djibouti,#REF!
 Dominica,#REF!
 Dominican Republic,#REF!
,#REF!
 East Timor,#REF!
 Ecuador,#REF!
,#REF!
 El Salvador,#REF!
 Equatorial Guinea,#REF!
 Eritrea,#REF!
 Estonia,#REF!
,#REF!
 Fiji,#REF!
 Finland,#REF!
 Gabon,#REF!
" Gambia, The",#REF!
 Georgia,#REF!
,#REF!
 Ghana,#REF!
 Greece,#REF!
 Grenada,#REF!
 Guatemala,#REF!
 Guinea,#REF!
 Guinea-Bissau,#REF!
 Guyana,#REF!
 Haiti,#REF!
 Honduras,#REF!
 Hungary,#REF!
 Iceland,#REF!
 India,#REF!
 Indonesia,#REF!
 Iraq,#REF!
 Ireland,#REF!
 Israel,#REF!
,#REF!
 Ivory Coast,#REF!
 Jamaica,#REF!
 Jordan,#REF!
 Kazakhstan,#REF!
 Kenya,#REF!
 Kiribati,#REF!
" Korea, North",#REF!
" Korea, South",#REF!
 Kosovo,#REF!
 Kuwait,#REF!
 Kyrgyzstan,#REF!
 Laos,#REF!
 Latvia,#REF!
,#REF!
 Lebanon,#REF!
 Lesotho,#REF!
 Liberia,#REF!
 Libya,#REF!
 Lithuania,#REF!
,#REF!
" Macedonia, Republic of",#REF!
 Madagascar,#REF!
 Malawi,#REF!
 Malaysia,#REF!
 Maldives,#REF!
 Mali,#REF!
 Malta,#REF!
 Mauritania,#REF!
 Mauritius,#REF!
 Mexico,#REF!
 Moldova,#REF!
 Mongolia,#REF!
 Montenegro,#REF!
 Morocco,#REF!
 Mozambique,#REF!
 Namibia,#REF!
 Nauru,#REF!
 Nicaragua,#REF!
 Niger,#REF!
 Nigeria,#REF!
 Northern Cyprus,#REF!
 Norway,#REF!
,#REF!
 Pakistan,#REF!
 Panama,#REF!
,#REF!
 Papua New Guinea,#REF!
 Paraguay,#REF!
 Peru,#REF!
 Philippines,#REF!
 Poland,#REF!
 Portugal,#REF!
 Qatar,#REF!
 Rhodesia,#REF!
 Romania,#REF!
 Rwanda,#REF!
 Saint Kitts and Nevis,#REF!
 Saint Lucia,#REF!
 Saint Vincent and the Grenadines,#REF!
 Samoa,#REF!
 São Tomé and Príncipe,#REF!
 Senegal,#REF!
 Serbia,#REF!
 Seychelles,#REF!
 Sierra Leone,#REF!
 Singapore,#REF!
 Slovakia,#REF!
 Slovenia,#REF!
 Solomon Islands,#REF!
 Somalia,#REF!
 South Africa,#REF!
 South Sudan,#REF!
 Sri Lanka,#REF!
 Sudan,#REF!
 Suriname,#REF!
 Swaziland,#REF!
 Sweden,#REF!
 Switzerland,#REF!
 Syria,#REF!
 Tajikistan,#REF!
 Tanzania,#REF!
 Togo,#REF!
 Tibet,#REF!
 Tonga,#REF!
 Trinidad and Tobago,#REF!
 Tunisia,#REF!
 Turkey,#REF!
 Turkmenistan,#REF!
 Tuvalu,#REF!
 Uganda,#REF!
 Ukraine,#REF!
,#REF!
 United Arab Emirates,#REF!
 United States,#REF!
 Uruguay,#REF!
 Uzbekistan,#REF!
 Vanuatu,#REF!
 Venezuela,#REF!
 Vietnam,#REF!
 Western Sahara,#REF!
 Yemen,#REF!
 Zambia,#REF!
 Zimbabwe,#REF!
