Country,Countries Age
Afghanistan,97
Albania,104
Algeria,54
Angola,41
Anguilla,49
Antigua and Barbuda,35
Argentina,200
Armenia,98
,25
Austria,61
Azerbaijan,98
,25
Bahamas,43
Bahrain,45
Bangladesh,45
Barbados,50
Belarus,72
Belgium,185
Belize,35
Benin,56
Bolivia,191
Bosnia and Herzegovina,24
Botswana,50
Brazil,194
Brunei,32
Bulgaria,108
Burkina Faso,56
Myanmar,68
Burundi,54
Cambodia,63
Cameroon,56
Canada,149
Cape Verde,41
Central African Republic,56
Chad,56
Chile,206
Colombia,206
Comoros,41
Democratic Republic of the Congo,56
Republic of theCongo,56
Costa Rica,195
Croatia,25
Cuba,114
Cyprus,56
Czech Republic,98
,23
Djibouti,39
Dominica,38
Dominican Republic,195
,172
East Timor,14
Ecuador,207
,194
El Salvador,195
Equatorial Guinea,48
Eritrea,23
Estonia,25
Fiji,46
Finland,99
Gabon,56
Gambia,51
Georgia,98
,25
Ghana,59
Greece,195
Grenada,42
Guatemala,195
Guinea,58
Guinea-Bissau,43
Guyana,50
Haiti,212
Honduras,195
Hungary,1016
Iceland,72
India,69
Indonesia,71
Iraq,84
Ireland,100
Israel,78
,2016
Ivory Coast,56
Jamaica,54
Jordan,70
Kazakhstan,25
Kenya,53
Kiribati,37
North Korea,71
South Korea,71
Kosovo,8
Kuwait,55
Kyrgyzstan,25
Laos,63
Latvia,98
,26
Lebanon,73
Lesotho,50
Liberia,169
Libya,65
Lithuania,98
,26
Republic of Macedonia,25
Madagascar,56
Malawi,52
Malaysia,59
Maldives,51
Mali,56
Malta,52
Mauritania,56
Mauritius,48
Mexico,206
Moldova,25
Mongolia,105
Montenegro,10
Morocco,61
Mozambique,41
Namibia,26
Nauru,48
Nicaragua,195
Niger,56
Nigeria,56
Northern Cyprus,33
Norway,202
,111
Pakistan,69
Panama,195
,113
Papua New Guinea,41
Paraguay,205
Peru,195
Philippines,118
Poland,98
Portugal,376
Qatar,45
Rhodesia,51
Romania,139
Rwanda,54
Saint Kitts and Nevis,33
Saint Lucia,37
Saint Vincent and the Grenadines,37
Samoa,54
São Tomé and Príncipe,41
Senegal,56
Serbia,212
Seychelles,40
Sierra Leone,55
Singapore,51
Slovakia,24
Slovenia,26
Solomon Islands,38
Somalia,56
South Africa,85
South Sudan,5
Sri Lanka,68
Sudan,60
Suriname,41
Swaziland,48
Sweden,493
Switzerland,725
Syria,70
Tajikistan,25
Tanzania,55
Togo,56
Tibet,103
Tonga,46
Trinidad and Tobago,54
Tunisia,60
Turkey,93
Turkmenistan,25
Tuvalu,38
Uganda,54
Ukraine,25
,97
United Arab Emirates,45
United States,240
Uruguay,191
Uzbekistan,25
Vanuatu,36
Venezuela,205
Vietnam,71
Western Sahara,40
Yemen,49
Zambia,52
Zimbabwe,36
